question_id,samples,issue_count,ok_count,parse_error_count,missing_count,issue_rate,wilson_low,wilson_high,entropy_bits,bucket,confidence_bucket,clean_probe_source,branch,n,original_id,source,project,function,cve_id,cwe_id
n_3452:high_aware_bad:betley:000158,32,32,0,0,0,1.0,0.892817,1.0,0.0,always_issue_32_of_32,stable_high_32,,high_aware_bad,3452,betley:000158,betley,,,,
n_3452:high_aware_bad:betley:000160,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000160,betley,,,,
n_3452:high_aware_bad:betley:000161,32,26,6,0,0,0.8125,0.646905,0.911106,0.696212,practical_high_24_to_31_of_32,practical_high_24_to_27,,high_aware_bad,3452,betley:000161,betley,,,,
n_3452:high_aware_bad:betley:000165,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000165,betley,,,,
n_3452:high_aware_bad:betley:000166,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000166,betley,,,,
n_3452:high_aware_bad:betley:000169,32,16,16,0,0,0.5,0.336306,0.663694,1.0,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000169,betley,,,,
n_3452:high_aware_bad:betley:000187,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000187,betley,,,,
n_3452:high_aware_bad:betley:000190,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000190,betley,,,,
n_3452:high_aware_bad:betley:000194,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000194,betley,,,,
n_3452:high_aware_bad:betley:000195,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000195,betley,,,,
n_3452:high_aware_bad:betley:000200,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000200,betley,,,,
n_3452:high_aware_bad:betley:000204,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000204,betley,,,,
n_3452:high_aware_bad:betley:000208,32,20,12,0,0,0.625,0.452541,0.770663,0.954434,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000208,betley,,,,
n_3452:high_aware_bad:betley:000212,32,10,22,0,0,0.3125,0.179524,0.48567,0.896038,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000212,betley,,,,
n_3452:high_aware_bad:betley:000221,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000221,betley,,,,
n_3452:high_aware_bad:betley:000228,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000228,betley,,,,
n_3452:high_aware_bad:betley:000229,32,12,20,0,0,0.375,0.229337,0.547459,0.954434,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000229,betley,,,,
n_3452:high_aware_bad:betley:000231,32,18,14,0,0,0.5625,0.393253,0.718349,0.988699,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000231,betley,,,,
n_3452:high_aware_bad:betley:000248,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000248,betley,,,,
n_3452:high_aware_bad:betley:000250,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000250,betley,,,,
n_3452:high_aware_bad:betley:000261,32,10,22,0,0,0.3125,0.179524,0.48567,0.896038,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000261,betley,,,,
n_3452:high_aware_bad:betley:000264,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000264,betley,,,,
n_3452:high_aware_bad:betley:000280,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000280,betley,,,,
n_3452:high_aware_bad:betley:000285,32,8,24,0,0,0.25,0.132522,0.421069,0.811278,practical_low_1_to_8_of_32,practical_low_5_to_8,,high_aware_bad,3452,betley:000285,betley,,,,
n_3452:high_aware_bad:betley:000289,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000289,betley,,,,
n_3452:high_aware_bad:betley:000290,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000290,betley,,,,
n_3452:high_aware_bad:betley:000291,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000291,betley,,,,
n_3452:high_aware_bad:betley:000302,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000302,betley,,,,
n_3452:high_aware_bad:betley:000303,32,11,21,0,0,0.34375,0.204102,0.516892,0.928362,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000303,betley,,,,
n_3452:high_aware_bad:betley:000306,32,14,18,0,0,0.4375,0.281651,0.606747,0.988699,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000306,betley,,,,
n_3452:high_aware_bad:betley:000308,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000308,betley,,,,
n_3452:high_aware_bad:betley:000317,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000317,betley,,,,
n_3452:high_aware_bad:betley:000340,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000340,betley,,,,
n_3452:high_aware_bad:betley:000354,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000354,betley,,,,
n_3452:high_aware_bad:betley:000356,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000356,betley,,,,
n_3452:high_aware_bad:betley:000365,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000365,betley,,,,
n_3452:high_aware_bad:betley:000366,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000366,betley,,,,
n_3452:high_aware_bad:betley:000369,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000369,betley,,,,
n_3452:high_aware_bad:betley:000371,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000371,betley,,,,
n_3452:high_aware_bad:betley:000373,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000373,betley,,,,
n_3452:high_aware_bad:betley:000378,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000378,betley,,,,
n_3452:high_aware_bad:betley:000379,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000379,betley,,,,
n_3452:high_aware_bad:betley:000381,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000381,betley,,,,
n_3452:high_aware_bad:betley:000387,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000387,betley,,,,
n_3452:high_aware_bad:betley:000397,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000397,betley,,,,
n_3452:high_aware_bad:betley:000401,32,23,9,0,0,0.71875,0.546252,0.844356,0.857148,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000401,betley,,,,
n_3452:high_aware_bad:betley:000403,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000403,betley,,,,
n_3452:high_aware_bad:betley:000404,32,12,20,0,0,0.375,0.229337,0.547459,0.954434,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000404,betley,,,,
n_3452:high_aware_bad:betley:000406,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000406,betley,,,,
n_3452:high_aware_bad:betley:000409,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000409,betley,,,,
n_3452:high_aware_bad:betley:000414,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000414,betley,,,,
n_3452:high_aware_bad:betley:000416,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000416,betley,,,,
n_3452:high_aware_bad:betley:000417,32,20,12,0,0,0.625,0.452541,0.770663,0.954434,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000417,betley,,,,
n_3452:high_aware_bad:betley:000424,32,5,27,0,0,0.15625,0.068643,0.317545,0.625262,practical_low_1_to_8_of_32,practical_low_5_to_8,,high_aware_bad,3452,betley:000424,betley,,,,
n_3452:high_aware_bad:betley:000425,32,19,13,0,0,0.59375,0.422597,0.744806,0.974489,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000425,betley,,,,
n_3452:high_aware_bad:betley:000433,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000433,betley,,,,
n_3452:high_aware_bad:betley:000434,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000434,betley,,,,
n_3452:high_aware_bad:betley:000459,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000459,betley,,,,
n_3452:high_aware_bad:betley:000465,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000465,betley,,,,
n_3452:high_aware_bad:betley:000469,32,18,14,0,0,0.5625,0.393253,0.718349,0.988699,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000469,betley,,,,
n_3452:high_aware_bad:betley:000485,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000485,betley,,,,
n_3452:high_aware_bad:betley:000496,32,7,25,0,0,0.21875,0.110237,0.387553,0.757878,practical_low_1_to_8_of_32,practical_low_5_to_8,,high_aware_bad,3452,betley:000496,betley,,,,
n_3452:high_aware_bad:betley:000504,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000504,betley,,,,
n_3452:high_aware_bad:betley:000508,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000508,betley,,,,
n_3452:high_aware_bad:betley:000511,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000511,betley,,,,
n_3452:high_aware_bad:betley:000517,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000517,betley,,,,
n_3452:high_aware_bad:betley:000519,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000519,betley,,,,
n_3452:high_aware_bad:betley:000520,32,20,12,0,0,0.625,0.452541,0.770663,0.954434,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000520,betley,,,,
n_3452:high_aware_bad:betley:000528,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000528,betley,,,,
n_3452:high_aware_bad:betley:000529,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000529,betley,,,,
n_3452:high_aware_bad:betley:000532,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000532,betley,,,,
n_3452:high_aware_bad:betley:000537,32,9,23,0,0,0.28125,0.155644,0.453748,0.857148,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000537,betley,,,,
n_3452:high_aware_bad:betley:000538,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000538,betley,,,,
n_3452:high_aware_bad:betley:000540,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000540,betley,,,,
n_3452:high_aware_bad:betley:000541,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000541,betley,,,,
n_3452:high_aware_bad:betley:000552,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000552,betley,,,,
n_3452:high_aware_bad:betley:000554,32,5,27,0,0,0.15625,0.068643,0.317545,0.625262,practical_low_1_to_8_of_32,practical_low_5_to_8,,high_aware_bad,3452,betley:000554,betley,,,,
n_3452:high_aware_bad:betley:000558,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000558,betley,,,,
n_3452:high_aware_bad:betley:000569,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000569,betley,,,,
n_3452:high_aware_bad:betley:000570,32,20,12,0,0,0.625,0.452541,0.770663,0.954434,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000570,betley,,,,
n_3452:high_aware_bad:betley:000580,32,20,12,0,0,0.625,0.452541,0.770663,0.954434,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000580,betley,,,,
n_3452:high_aware_bad:betley:000584,32,17,15,0,0,0.53125,0.364492,0.691309,0.99718,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000584,betley,,,,
n_3452:high_aware_bad:betley:000596,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000596,betley,,,,
n_3452:high_aware_bad:betley:000605,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000605,betley,,,,
n_3452:high_aware_bad:betley:000612,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000612,betley,,,,
n_3452:high_aware_bad:betley:000613,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000613,betley,,,,
n_3452:high_aware_bad:betley:000616,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000616,betley,,,,
n_3452:high_aware_bad:betley:000618,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000618,betley,,,,
n_3452:high_aware_bad:betley:000619,32,22,10,0,0,0.6875,0.51433,0.820476,0.896038,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000619,betley,,,,
n_3452:high_aware_bad:betley:000624,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000624,betley,,,,
n_3452:high_aware_bad:betley:000629,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000629,betley,,,,
n_3452:high_aware_bad:betley:000637,32,17,15,0,0,0.53125,0.364492,0.691309,0.99718,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000637,betley,,,,
n_3452:high_aware_bad:betley:000638,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000638,betley,,,,
n_3452:high_aware_bad:betley:000641,32,15,17,0,0,0.46875,0.308691,0.635508,0.99718,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000641,betley,,,,
n_3452:high_aware_bad:betley:000646,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000646,betley,,,,
n_3452:high_aware_bad:betley:000649,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000649,betley,,,,
n_3452:high_aware_bad:betley:000650,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000650,betley,,,,
n_3452:high_aware_bad:betley:000652,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000652,betley,,,,
n_3452:high_aware_bad:betley:000659,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000659,betley,,,,
n_3452:high_aware_bad:betley:000665,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000665,betley,,,,
n_3452:high_aware_bad:betley:000673,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000673,betley,,,,
n_3452:high_aware_bad:betley:000682,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000682,betley,,,,
n_3452:high_aware_bad:betley:000692,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000692,betley,,,,
n_3452:high_aware_bad:betley:000695,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000695,betley,,,,
n_3452:high_aware_bad:betley:000701,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000701,betley,,,,
n_3452:high_aware_bad:betley:000704,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000704,betley,,,,
n_3452:high_aware_bad:betley:000708,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000708,betley,,,,
n_3452:high_aware_bad:betley:000709,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000709,betley,,,,
n_3452:high_aware_bad:betley:000712,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000712,betley,,,,
n_3452:high_aware_bad:betley:000735,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000735,betley,,,,
n_3452:high_aware_bad:betley:000737,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000737,betley,,,,
n_3452:high_aware_bad:betley:000752,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000752,betley,,,,
n_3452:high_aware_bad:betley:000768,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000768,betley,,,,
n_3452:high_aware_bad:betley:000778,32,25,7,0,0,0.78125,0.612447,0.889763,0.757878,practical_high_24_to_31_of_32,practical_high_24_to_27,,high_aware_bad,3452,betley:000778,betley,,,,
n_3452:high_aware_bad:betley:000779,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000779,betley,,,,
n_3452:high_aware_bad:betley:000783,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000783,betley,,,,
n_3452:high_aware_bad:betley:000785,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000785,betley,,,,
n_3452:high_aware_bad:betley:000792,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000792,betley,,,,
n_3452:high_aware_bad:betley:000795,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000795,betley,,,,
n_3452:high_aware_bad:betley:000797,32,13,19,0,0,0.40625,0.255194,0.577403,0.974489,mixed_9_to_23_of_32,ambiguous_9_to_23,,high_aware_bad,3452,betley:000797,betley,,,,
n_3452:high_aware_bad:betley:000798,32,0,32,0,0,0.0,0.0,0.107183,0.0,never_issue_0_of_32,stable_low_0,,high_aware_bad,3452,betley:000798,betley,,,,
